organism_genus,gram_stain
ABIOTROPHIA,postive
ACETOBACTER,negative
ACHROMOBACTER,negative
ACIDAMINOCOCCUS,negative
ACIDOVORAX,negative
ACINETOBACTER,negative
ACTINOBACILLUS,negative
ACTINOBACULUM,postive
ACTINOMYCES,postive
ACTINOTIGNUM,postive
AEROCOCCUS,postive
AEROMONAS,negative
AGGREGATIBACTER,negative
AGROBACTERIUM,negative
AGROMYCES,postive
ALCALIGENES,negative
ALISTIPES,negative
ALLOIOCOCCUS,postive
ALLOSCARDOVIA,postive
ANAEROBIOSPIRILLUM,negative
ANAEROCOCCUS,postive
ANAEROSPORA,negative
ARACHNIA,postive
ARCANOBACTER,postive
ARCANOBACTERIUM,postive
ARCOBACTER,negative
ARTHROBACTER,postive
ATOPOBIUM,postive
AURANTIMONAS,negative
AUREIMONAS,negative
AZORHIZOBIUM,negative
AZOSPIRILLUM,postive
BACILLUS,postive
BACTEROIDES,negative
BERGEYELLA,negative
BHARGAVAEA,postive
BIFIDOBACTERIUM,postive
BILOPHILA,negative
BLAUTIA,postive
BORDETELLA,negative
BORRELIA,negative
BRACHYBACTERIUM,postive
BRANHAMELLA,negative
BREVIBACILLUS,postive
BREVIBACTERIUM,postive
BREVUNDIMONAS,negative
BRUCELLA,negative
BURKHOLDERIA,negative
BUTTIAUXELLA,negative
BUTYRIBACTERIUM,postive
BUTYRICIMONAS,negative
CALYMMATOBACTERIUM,negative
CAMPYLOBACTER,negative
CAPNOCYTOPHAGA,negative
CARDIOBACTERIUM,negative
CARNOBACTERIUM,postive
CATABACTER,postive
CEDECEA,negative
CELLULOMONAS,postive
CELLULOSIMICROBIUM,postive
CHROMOBACTERIUM,negative
CHRYSEOBACTERIUM,negative
CHRYSEOMONAS,negative
CITROBACTER,negative
CLAVIBACTER,postive
CLOSTRIDIUM,postive
COLIFORM,negative
COLLINSELLA,postive
COMAMONAS,negative
COPROBACILLUS,postive
CORYNEBACTERIUM,postive
CRONOBACTER,negative
CUPRIAVIDUS,negative
CURTOBACTERIUM,postive
CUTIBACTERIUM,postive
DEINOCOCCUS,postive
DELFTIA,negative
DERMABACTER,postive
DERMACOCCUS,postive
DESULFOVIBRIO,negative
DIALISTER,negative
DIETZIA,postive
DIPHTHEROIDS,postive
DOLOSICOCCUS,postive
DOLOSIGRANULUM,postive
EDWARDSIELLA,negative
EGGERTHELLA,postive
EGGERTHIA,postive
EIKENELLA,negative
ELIZABETHKINGIA,negative
EMPEDOBACTER,negative
ENHYDROBACTER,negative
ENTEROBACTER,negative
ENTEROCOCCUS,postive
ERWINIA,negative
ERYSIPELOTHRIX,postive
ESCHERICHIA,negative
EUBACTERIUM,postive
EWINGELLA,negative
EXIGUOBACTERIUM,postive
FACKLAMIA,postive
FILIFACTOR,postive
FINEGOLDIA,postive
FLAVOBACTERIUM,negative
FLAVONIFRACTOR,negative
FRANCISELLA,negative
FRANCONIBACTER,negative
FUSOBACTERIUM,negative
GABONIBACTER,negative
GARDNERELLA,postive
GEMELLA,postive
GEOBACILLUS,postive
GLOBICATELLA,postive
GORDONIA,postive
GORDONIBACTER,postive
GRANULICATELLA,postive
GRIMONTIA,negative
HAEMATOBACTER,negative
HAEMOPHILUS,negative
HAFNIA,negative
HELCOCOCCUS,postive
HELICOBACTER,negative
HERBASPRILLUM,negative
ISOPTERICOLA,postive
JANIBACTER,postive
JANTHINOBACTERIUM,negative
KINGELLA,negative
KLEBSIELLA,negative
KLUYVERA,negative
KOCURIA,postive
KOSAKONIA,negative
KOSERELLA,negative
KURTHIA,postive
KYTOCOCCUS,postive
LACHNOANAEROBACULUM,postive
LACTOBACILLUS,postive
LACTOCOCCUS,postive
LECLERCIA,negative
LEGIONELLA,negative
LEIFSONIA,postive
LELLIOTTIA,negative
LEMINORELLA,negative
LEPTOSPIRA,negative
LEPTOTRICHIA,negative
LEUCONOSTOC,postive
LISTERIA,postive
LUTEIMONAS,negative
LYSINIBACILLUS,postive
MACROCOCCUS,postive
MANNHEIMIA,negative
MASSILIA,negative
MEGASPHAERA,negative
METHYLOBACTERIUM,negative
METHYLOPILA,negative
MICROBACTERIUM,postive
MICROCOCCUS,postive
MOBILUNCUS,negative
MORAXELLA,negative
MORGANELLA,negative
MURDOCHIELLA,postive
MYCOBACTERIUM,postive
MYROIDES,negative
NEGATIVICOCCUS,negative
NEISSERIA,negative
NOCARDIA,postive
OBESUMBACTERIUM,negative
OCEANOBACILLUS,postive
OCHROBACTRUM,negative
OERSKOVIA,postive
OLIGELLA,negative
OLSENELLA,postive
OSCILLIBACTER,negative
PAENARTHROBACTER,postive
PAENIBACILLUS,postive
PANDORAEA,negative
PANTOEA,negative
PARABACTEROIDES,postive
PARACOCCUS,negative
PARVIMONAS,postive
PASTEURELLA,negative
PEDIOCOCCUS,postive
PEPTOCOCCUS,postive
PEPTONIPHILUS,postive
PEPTOSTREPTOCOCCUS,postive
PLESIOMONAS,negative
PLURALIBACTER,negative
PORPHYROMONAS,negative
PREVOTELLA,negative
PROPIONIBACTERIUM,postive
PROPIONIMICROBIUM,postive
PROTEUS,negative
PROVIDENCIA,negative
PSEUDARTHROBACTER,negative
PSEUDOCHROBACTRUM,negative
PSEUDOCLAVIBACTER,postive
PSEUDOFLAVONIFRACTOR,negative
PSEUDOGLUTAMICIBACTER,postive
PSEUDOMONAS,negative
PSEUDOXANTHOMONAS,negative
PSYCHROBACILLUS,postive
PSYCHROBACTER,negative
RAHNELLA,negative
RALSTONIA,negative
RAOULTELLA,negative
RHIZOBIUM,negative
RHODOBACTER,negative
RHODOCOCCUS,postive
ROBINSONIELLA,postive
ROSEOMONAS,negative
ROTHIA,postive
RUMINOCOCCUS,postive
SALANA,postive
SALMONELLA,negative
SELENOMONAS,postive
SERRATIA,negative
SHEWANELLA,negative
SHIGELLA,negative
SLACKIA,postive
SNEATHIA,negative
SOLOBACTERIUM,postive
SPHINGOBACTERIUM,negative
SPHINGOMONAS,negative
SPOROSARCINA,postive
STAPHYLOCOCCUS,postive
STENOTROPHOMONAS,negative
STOMATOCOCCUS,postive
STREPTOBACILLUS,negative
STREPTOCOCCUS,postive
STREPTOMYCES,postive
SUTTERELLA,negative
SUTTONELLA,negative
THAUERA,negative
THERMOANAEROBACTERIUM,postive
TISSIERELLA,negative
TREPONEMA,negative
TROPHERYMA,postive
TRUEPERELLA,postive
TSUKAMURELLA,postive
TURICELLA,postive
VAGOCOCCUS,postive
VARIOVORAX,negative
VEILLONELLA,negative
VIBRIO,negative
VIRGIBACILLUS,postive
WAUTERSIA,negative
WEEKSELLA,negative
WEISSELLA,postive
WOLINELLA,negative
XANTHOMONAS,negative
YERSINIA,negative
